"Year","id","State","Population","Norm_Population","total_crime_index","Index.offenses.total","Violent.crime.total","Murder.and.nonnegligent.Manslaughter","Forcible.rape","Robbery","Aggravated.assault","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft","Index.offense.rate","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Forcible.rape.rate","Robbery.rate","Aggravated.assault.rate","Property.crime.rate","Burglary.rate","Larceny.theft.rate","Motor.vehicle.theft.rate"
1960,1,"Alabama",3266740,0.0788196483061259,0.0577670538075045,0.0178291150585633,0.0175353818285989,0.0989010989010989,0.0200920581573756,0.00679965466922354,0.0227136155450409,0.0178013096230133,0.0199765975308007,0.0181336967859025,0.00815648955194018,0.049571714962639,0.060811042818391,0.151741293532338,0.0769230769230769,0.0156747489590987,0.0865508365508365,0.0517171943170377,0.0636173415072868,0.0539301507084198,0.0268739589117157
1960,2,"Alaska",226167,0,0.0519283073776278,0.000248719604108343,0.000575831845526597,0.00537240537240537,0.00299554321619055,0.000427843439861256,0.000444374870601068,0.000201364403415883,0,0.000717019878512864,0.000950392036715145,0.0866463589262933,0.0325515915255983,0.124378109452736,0.19723865877712,0.0161645848640705,0.0267052767052767,0.108714621322296,0.0548805109944569,0.122227235809043,0.1129372570794
1960,4,"Arizona",1302161,0.0278925941457422,0.1030368434466,0.0175002416757872,0.00771730418100218,0.0188034188034188,0.0148315920216264,0.00533276287541352,0.00856936540238649,0.0193774067978766,0.0150168905576364,0.0220569939398617,0.013011617292133,0.2050647851632,0.0680561755313669,0.0721393034825871,0.150887573964497,0.0320230222875337,0.0822393822393822,0.249793041727263,0.18461143129841,0.268730259001895,0.166296501943365
1960,5,"Arkansas",1786272,0.040442024388373,0.0332767123383271,0.00741009539271222,0.00546027483672708,0.0368742368742369,0.0111784905384672,0.00332342672035083,0.00583746989107766,0.00777661201779899,0.00853804370787693,0.00889774951225383,0.0020477196843698,0.0332647730132695,0.0337190536689215,0.103233830845771,0.0798816568047337,0.0140215527798188,0.0398326898326898,0.0395234366260208,0.0439044087955655,0.0506271997112174,0.00632981676846196
1960,6,"California",15717204,0.401568417609833,0.259775217314004,0.263706417597301,0.108571792341726,0.15018315018315,0.208445970629064,0.116732498529288,0.094843736586696,0.293263171088946,0.261488610124783,0.315313046207158,0.1663467430315,0.245046733838423,0.0788036946743124,0.0460199004975124,0.171597633136095,0.0584129316678913,0.0746460746460746,0.297829734869672,0.267207518079366,0.305297355834311,0.167240421987785
1960,8,"Colorado",1753947,0.0396040753795857,0.0712482743698733,0.0169464519322647,0.00686079048112342,0.0175824175824176,0.01629283261489,0.0103446431709311,0.0036862915402134,0.0188876328598852,0.0169824040618163,0.02077935795237,0.0109607713181687,0.132052383555937,0.0438828417402053,0.0497512437810945,0.121301775147929,0.0464119519960813,0.024967824967825,0.163552970130887,0.142175397378951,0.172926631170472,0.0971127151582454
1960,9,"Connecticut",2535234,0.0598570890602795,0.0223876544453406,0.0126803277852345,0.00257822198172964,0.00976800976800977,0.00708701687732885,0.0017419340051494,0.0026965475102383,0.0146502758750357,0.0141461864445698,0.0154006932546304,0.00951642552552928,0.0438872833624064,0.00930536002472273,0.0174129353233831,0.0325443786982249,0.00453098212098947,0.0115830115830116,0.0611701532609912,0.0553577328291913,0.0656258460427759,0.0504164353137146
1960,10,"Delaware",446292,0.00570621888814574,0.0610277727374186,0.00312065378279686,0.000978046049185878,0.00781440781440781,0.00255717103821144,0.00113836915248799,0.000656462877024304,0.00355144135131183,0.00350853345138661,0.00444633573389422,0.00154751334925657,0.131010960972689,0.0255811557875219,0.0895522388059702,0.0828402366863905,0.0203894195444526,0.0184684684684685,0.16817317373308,0.151829962189347,0.18433354390398,0.0703498056635203
1960,11,"District of Columbia",763956,0.0139409051658694,0.112006699161285,0.00850455880688429,0.0121329795391609,0.0195360195360195,0.00767151311463432,0.00812902535736387,0.0149067570228904,0.00774585607145593,0.00704645775891048,0.00854736444414202,0.00549914339665112,0.178959792409765,0.186862617175428,0.129353233830846,0.135108481262327,0.0847416115601274,0.247490347490347,0.177435954804788,0.153371755809258,0.181066690731883,0.123986674069961
1960,12,"Florida",4951560,0.122494613471944,0.128674444048033,0.0634919940948525,0.0318993480657548,0.128449328449328,0.0290056257762841,0.0305373255200972,0.0308638546490196,0.0694683979749821,0.0720351514639402,0.0732396197154061,0.02827728938187,0.178239475123018,0.0734471036637709,0.129353233830846,0.0719921104536489,0.0483712956159687,0.0772844272844273,0.213457881194764,0.229250027532029,0.215359624582619,0.0825652415324819
1960,13,"Georgia",3943116,0.0963530929702416,0.0646089565307642,0.0254048615938555,0.018012830343734,0.114285714285714,0.021041864542997,0.00738029933760667,0.0227792618327434,0.0267553521149646,0.0270212183612026,0.0269034795776286,0.017410306751535,0.065705086481467,0.0512653229406311,0.145522388059702,0.0660749506903353,0.0139603232916973,0.0715572715572716,0.0756236715516277,0.0769061341360449,0.0751376229582168,0.0602443087173792
1960,15,"Hawaii",632772,0.0105402708961476,0.0511638113289734,0.00550146389946676,0.000292256363809981,0.00341880341880342,0.00109593044494776,0.000466043746991726,9.59445743343214e-05,0.00653302724396545,0.00473376476660905,0.00800299807745236,0.00457688796628609,0.142978642158522,0.0042234659890808,0.027363184079602,0.02465483234714,0.00551065393093314,0.00102960102960103,0.190558227989708,0.126023273741786,0.214294738741991,0.128262076624098
